reference_file,target_file,reference_base_frequency_hz,target_base_frequency_hz,reference_band,reference_frequency_hz,reference_relative_frequency_hz,reference_level_db,target_band,target_frequency_hz,target_relative_frequency_hz,target_level_db,raw_frequency_shift_hz,aligned_frequency_shift_hz,band_level_difference_db,envelope_difference_db,matched
14_Sing tone.wav,03_Multifonic lower.wav,503.90625,597.65625,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-11.974039100553757,no
14_Sing tone.wav,04_Multifonic lower.wav,503.90625,539.0625,1,515.625,11.71875,25.200724758788407,1,597.65625,58.59375,22.943380584457117,82.03125,46.875,-2.2573441743312905,-3.2332352300437286,yes
14_Sing tone.wav,04_Multifonic lower.wav,503.90625,539.0625,2,1207.03125,703.125,15.428492537981501,,,,,,,,-2.5818834557472936,no
14_Sing tone.wav,04_Multifonic lower.wav,503.90625,539.0625,3,2062.5,1558.59375,-0.26642139225723654,,,,,,,,-6.80591622076871,no
14_Sing tone.wav,04_Multifonic lower.wav,503.90625,539.0625,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-4.161451210187536,no
14_Sing tone.wav,04_Multifonic lower.wav,503.90625,539.0625,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-0.9897019684374264,no
14_Sing tone.wav,05_Multifonic lower.wav,503.90625,515.625,1,515.625,11.71875,25.200724758788407,1,550.78125,35.15625,24.98836197258111,35.15625,23.4375,-0.2123627862072972,-0.3367733883445787,yes
14_Sing tone.wav,05_Multifonic lower.wav,503.90625,515.625,2,1207.03125,703.125,15.428492537981501,,,,,,,,-2.36800861447985,no
14_Sing tone.wav,05_Multifonic lower.wav,503.90625,515.625,3,2062.5,1558.59375,-0.26642139225723654,2,1945.3125,1429.6875,-2.1870244044171843,-117.1875,-128.90625,-1.9206030121599478,-5.693214887772895,yes
14_Sing tone.wav,05_Multifonic lower.wav,503.90625,515.625,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-7.578322160682767,no
14_Sing tone.wav,05_Multifonic lower.wav,503.90625,515.625,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-10.486960955753108,no
14_Sing tone.wav,06_Multifonic lower.wav,503.90625,527.34375,1,515.625,11.71875,25.200724758788407,1,562.5,35.15625,26.95183953130932,46.875,23.4375,1.7511147725209142,1.5832151608522658,yes
14_Sing tone.wav,06_Multifonic lower.wav,503.90625,527.34375,2,1207.03125,703.125,15.428492537981501,,,,,,,,1.6061027712509777,no
14_Sing tone.wav,06_Multifonic lower.wav,503.90625,527.34375,3,2062.5,1558.59375,-0.26642139225723654,2,1968.75,1441.40625,2.4838482553378425,-93.75,-117.1875,2.750269647595079,-0.3805077651227638,yes
14_Sing tone.wav,06_Multifonic lower.wav,503.90625,527.34375,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-7.013727433117097,no
14_Sing tone.wav,06_Multifonic lower.wav,503.90625,527.34375,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-8.90964057474297,no
14_Sing tone.wav,07_Multifonic fujara - long shepherd pipe.wav,503.90625,480.46875,1,515.625,11.71875,25.200724758788407,1,492.1875,11.71875,17.124209578556094,-23.4375,0.0,-8.076515180232313,-8.076515180232313,yes
14_Sing tone.wav,07_Multifonic fujara - long shepherd pipe.wav,503.90625,480.46875,2,1207.03125,703.125,15.428492537981501,,,,,,,,-18.90423509985709,no
